num1,num2,operation,result
165961,889429,add,1055390
868477,775640,add,1644117
658391,971912,subtract,-313521
180829,753604,subtract,-572775
454592,620791,multiply,282206622272
927777,557577,multiply,517307116329
348447,508877,add,857324
788548,408236,add,1196784
681298,800674,subtract,-119376
110127,265097,subtract,-154970
722979,191954,multiply,138778710966
668251,140074,multiply,93604590574
875920,425855,add,1301775
329215,515815,add,845030
845092,294262,subtract,550830
208149,276341,subtract,-68192
619267,306296,multiply,189679005032
448550,328082,multiply,147161181100
525999,500213,add,1026212
260909,852291,add,1113200
253961,717011,subtract,-463050
583851,181230,subtract,402621
776822,836326,multiply,649676435972
580959,235326,multiply,136714757634
526822,494843,add,1021665
771496,221552,add,993048
553731,889083,subtract,-335352
786167,751496,subtract,34671
413973,855813,multiply,354283475049
406119,171704,multiply,69732256776
139744,989942,add,1129686
421074,320329,add,741403
224585,547197,subtract,-322612
127046,777268,subtract,-650222
482127,433634,multiply,209066659518
120840,510451,multiply,61682898840
252686,368829,add,621515
764292,520745,add,1285037
583931,570906,subtract,13025
891298,942869,subtract,-51571
865019,998565,multiply,863777697735
530946,869221,multiply,461509413066
135514,772427,add,907941
146684,109520,add,256204
933871,434864,subtract,499007
587158,264110,subtract,323048
639336,581250,multiply,371614050000
862918,538250,multiply,464465613500
338877,631333,add,970210
599256,696146,add,1295402
455039,673910,subtract,-218871
329418,277328,subtract,52090
744209,134040,multiply,99753774360
603365,942075,multiply,568415082375
848480,526539,add,1375019
967618,625483,add,1593101
183231,284142,subtract,-100911
396065,297631,subtract,98434
419446,933869,multiply,391707616574
180558,964531,multiply,174153788298
388874,583868,add,972742
143340,192062,add,335402
541759,230468,subtract,311291
647589,331350,subtract,316239
496976,478228,multiply,237667838528
143873,985155,multiply,141737205315
368028,588168,add,956196
144191,242370,add,386561
647852,271226,subtract,376626
677268,682488,subtract,-5220
304143,531860,multiply,161761495980
136521,251656,multiply,34356328776
520583,785654,add,1306237
795522,500366,add,1295888
203893,451628,subtract,-247735
394124,903452,subtract,-509328
118934,155741,multiply,18522900094
320166,532860,multiply,170603654760
858137,898741,add,1756878
817357,108881,add,926238
518073,655171,subtract,-137098
791632,120100,subtract,671532
351497,200957,multiply,70635782629
219103,494777,multiply,108407125031
663828,722883,add,1386711
931366,351763,add,1283129
814990,181070,subtract,633920
825421,831426,subtract,-6005
323170,450404,multiply,145557060680
760821,186401,multiply,141817795221
716255,856522,add,1572777
173064,570397,add,743461
455567,241426,subtract,214141
340560,274677,subtract,65883
610455,352441,multiply,215149370655
827029,599055,multiply,495435857595
206656,449288,add,655944
579094,780630,add,1359724
983877,875462,subtract,108415
388504,637952,subtract,-249448
931251,233860,multiply,217782358860
239951,537452,multiply,128962144852
923351,256348,add,1179699
919378,530962,add,1450340
394344,619760,subtract,-225416
861773,300583,subtract,561190
156027,444956,multiply,69425149812
865344,484938,multiply,419638188672
826848,137925,add,964773
541575,656004,add,1197579
744518,141914,add,886432
450137,251310,add,701447
515106,975598,add,1490704
242395,814198,add,1056593
612329,867901,add,1480230
274202,916586,add,1190788
885770,895210,add,1780980
271692,241548,add,513240
333432,378773,add,712205
901063,436025,add,1337088
618946,345123,add,964069
351325,122140,add,473465
132716,762332,add,895048
594282,220369,add,814651
846374,937837,add,1784211
454095,509616,add,963711
633356,697394,add,1330750
358154,460377,add,818531
820561,888457,add,1709018
893992,201808,add,1095800
855588,839809,add,1695397
487356,856022,add,1343378
645906,323843,add,969749
649054,134386,add,783440
763057,207081,add,970138
423433,101865,add,525298
891523,768647,add,1660170
186196,107236,add,293432
104429,200440,add,304869
114599,831532,add,946131
940144,653650,add,1593794
463100,377008,add,840108
373504,579391,add,952895
991375,930556,add,1921931
950789,499094,add,1449883
330771,559252,add,890023
326104,384920,add,711024
648526,708605,add,1357131
132967,970557,add,1103524
940867,118958,add,1059825
291579,952072,add,1243651
999952,312951,add,1312903
298867,533998,add,832865
630864,268168,add,899032
961356,741976,add,1703332
246235,139171,subtract,107064
400052,907397,subtract,-507345
862235,615353,subtract,246882
675130,816833,subtract,-141703
662188,326440,subtract,335748
838382,256604,subtract,581778
640165,946511,subtract,-306346
571653,200248,subtract,371405
146591,528411,subtract,-381820
608643,616712,subtract,-8069
185286,118694,subtract,66592
468727,485254,subtract,-16527
876752,505397,subtract,371355
688266,717976,subtract,-70290
501106,705084,subtract,-203978
827694,679706,subtract,147988
707752,496140,subtract,211612
853361,510346,subtract,343015
612863,562862,subtract,50001
587129,930882,subtract,-343753
125142,279402,subtract,-154260
711661,982688,subtract,-271027
189030,836967,subtract,-647937
398120,708079,subtract,-309959
294539,230814,subtract,63725
215939,362098,subtract,-146159
889336,339375,subtract,549961
888737,753254,subtract,135483
347349,562930,subtract,-215581
418610,651216,subtract,-232606
424093,433574,subtract,-9481
577397,332533,subtract,244864
207863,287230,subtract,-79367
867975,395528,subtract,472447
223726,641986,subtract,-418260
475203,628192,subtract,-152989
839405,220636,subtract,618769
834579,400049,subtract,434530
468415,660061,subtract,-191646
332344,510745,subtract,-178401
456676,235828,subtract,220848
782892,851871,subtract,-68979
347463,531544,subtract,-184081
863188,852876,subtract,10312
382930,505237,subtract,-122307
903595,317489,multiply,286881472955
632305,963260,multiply,609074114300
528946,144849,multiply,76617299154
609477,181126,multiply,110392131102
226792,541444,multiply,122795167648
602871,167441,multiply,100945323111
593450,334628,multiply,198584986600
959380,877349,multiply,841711083620
132227,935836,multiply,123742786772
805341,593447,multiply,477927200427
422168,999574,multiply,421988156432
951544,986468,multiply,938667706592
170166,568648,multiply,96764555568
706049,941461,multiply,664717597589
987519,584620,multiply,577323357780
483157,829251,multiply,400658425407
761205,914714,multiply,696284870370
771996,328659,multiply,253723433364
176814,339608,multiply,60047448912
801110,928276,multiply,743651186360
771035,516116,multiply,397943500060
286614,168021,multiply,48157170894
463023,927174,multiply,429302887002
162763,339285,multiply,55223044455
533718,466154,multiply,248794780572
521340,691801,multiply,360663533340
355471,483818,multiply,171983268278
391080,494335,multiply,193324531800
939261,849626,multiply,798020566386
115450,111953,multiply,12924973850
203142,207485,multiply,42148917870
714748,611866,multiply,437329999768
260907,185145,multiply,48305626515
386448,492822,multiply,190450076256
397841,918585,multiply,365450774985
249148,765491,multiply,190720551668
197646,555590,multiply,109810141140
416149,194903,multiply,81108688547
956410,954957,multiply,913330424370
152168,560567,multiply,85300359256
869163,840334,multiply,730387220442
343362,912414,multiply,313288295868
167012,440100,multiply,73501981200
142186,594076,multiply,84469290136
558484,148168,multiply,82749457312
